               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  39,              2.8581,              1.7746,              1.2591,             0.63767,             0.43095,             0.47654,             0.19829,                   0,                   0,                   0,           0.0092476,           0.0092476,           0.0092476
                  40,              2.8793,              1.7867,              1.2611,             0.64798,             0.42974,             0.47895,             0.19709,                   0,                   0,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,              2.8521,              1.7597,              1.2503,             0.64021,             0.43611,             0.48286,             0.20124,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  42,              2.8383,              1.7483,              1.2506,             0.63208,             0.43997,             0.47956,             0.19997,                   0,                   0,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,              2.8248,              1.7368,              1.2562,             0.65251,             0.44312,             0.48981,             0.20416,                   0,                   0,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,              2.8594,              1.7713,              1.2516,             0.63898,             0.43903,             0.48507,             0.20309,                   0,                   0,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,              2.8252,              1.7449,              1.2505,             0.65328,             0.43747,             0.48739,             0.20226,                   0,                   0,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,              2.7883,               1.707,              1.2502,             0.63744,             0.44541,             0.49099,             0.20691,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  47,              2.8127,              1.7281,              1.2441,             0.64434,             0.44649,             0.49278,             0.20793,                   0,                   0,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,              2.8029,               1.713,              1.2436,             0.63593,              0.4467,             0.48952,             0.20764,                   0,                   0,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,              2.8192,              1.7357,               1.241,             0.64748,              0.4414,             0.49041,             0.20937,                   0,                   0,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,               2.791,              1.7027,              1.2431,             0.65719,             0.44395,             0.49808,             0.21434,                   0,                   0,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,              2.7872,              1.7035,              1.2392,             0.65132,             0.45359,             0.49873,             0.21333,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  52,              2.8092,              1.7021,              1.2366,             0.65236,             0.45086,             0.49719,             0.21077,                   0,                   0,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,               2.768,              1.6861,              1.2399,             0.65039,             0.45179,             0.50037,             0.21341,                   0,                   0,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,              2.7826,              1.6998,              1.2398,             0.65933,             0.45093,             0.50131,             0.21421,                   0,                   0,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,              2.7611,              1.6774,              1.2366,             0.63858,             0.46054,             0.50063,             0.21441,                   0,                   0,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,              2.7799,               1.701,              1.2481,             0.65042,             0.45587,             0.50229,             0.21443,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  57,              2.7654,              1.6792,               1.234,             0.65323,             0.44934,             0.49842,             0.21433,                   0,                   0,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,              2.7439,              1.6507,              1.2356,             0.65884,             0.45902,             0.51006,             0.21867,                   0,                   0,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,              2.7615,              1.6706,              1.2378,             0.66354,             0.45988,             0.51106,             0.22032,                   0,                   0,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,              2.7523,              1.6545,              1.2412,             0.66639,               0.453,             0.50806,             0.21936,                   0,                   0,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,              2.7569,              1.6449,              1.2359,             0.65634,             0.46446,             0.50989,             0.21956,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  62,              2.7655,               1.681,              1.2293,             0.67043,             0.45872,             0.51181,              0.2215,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,              2.7486,               1.681,              1.2297,             0.66655,             0.45787,             0.51293,             0.22232,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,              2.7361,              1.6558,              1.2302,             0.67099,             0.45515,             0.51183,             0.22215,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,              2.7376,                1.64,              1.2314,             0.66797,             0.46045,             0.51262,             0.22237,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,              2.7116,              1.6337,              1.2334,              0.6768,             0.46295,             0.51629,             0.22478,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,              2.7129,               1.626,              1.2279,             0.67043,             0.46514,             0.51819,             0.22546,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,              2.7144,              1.6283,              1.2281,             0.67167,             0.46703,              0.5224,             0.22634,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,               2.727,              1.6416,              1.2304,             0.67663,              0.4626,              0.5188,             0.22586,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,              2.7134,              1.6142,              1.2289,             0.67192,             0.46811,              0.5207,             0.22683,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,              2.7097,              1.6367,              1.2282,             0.67738,              0.4628,             0.52112,             0.22738,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,              2.7308,              1.6318,              1.2251,             0.67629,             0.46589,             0.52247,             0.22756,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,              2.7223,              1.6259,              1.2282,             0.66927,             0.47081,             0.52133,             0.22791,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,              2.6987,              1.5999,              1.2225,             0.66896,             0.47435,             0.52235,             0.22869,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,              2.6912,              1.6118,              1.2272,             0.67155,             0.46954,             0.52151,             0.22897,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,              2.7054,              1.6144,               1.229,             0.67492,              0.4699,             0.52444,             0.23088,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,              2.6892,              1.6013,              1.2233,             0.67919,             0.46975,             0.52496,             0.23078,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,              2.6841,              1.5963,              1.2201,             0.68991,             0.46446,             0.52532,             0.23083,                   0,                   0,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,              2.7068,              1.6144,              1.2238,             0.67128,             0.47197,             0.52587,             0.23087,                   0,                   0,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,              2.7073,              1.6035,              1.2201,             0.67782,              0.4723,             0.52526,             0.23122,                   0,                   0,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,              2.6817,               1.587,               1.222,             0.68522,             0.46811,              0.5265,             0.23246,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  82,              2.6725,              1.5756,              1.2248,             0.68355,              0.4709,             0.52997,             0.23321,                   0,                   0,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,              2.6939,              1.5984,              1.2244,              0.6855,             0.47562,             0.53273,             0.23429,                   0,                   0,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,               2.683,              1.5909,              1.2203,             0.67802,             0.47333,             0.53105,             0.23464,                   0,                   0,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,              2.6823,               1.599,              1.2239,             0.67867,             0.47298,             0.53181,             0.23455,                   0,                   0,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,              2.6721,               1.577,              1.2227,             0.67771,             0.47464,              0.5312,              0.2356,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  87,              2.6628,               1.596,              1.2184,             0.68335,             0.47799,             0.53295,             0.23649,                   0,                   0,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,              2.6798,              1.5822,              1.2192,             0.68243,             0.48042,             0.53431,              0.2365,                   0,                   0,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,              2.6837,              1.5871,              1.2179,             0.67208,             0.47933,             0.53278,             0.23637,                   0,                   0,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,              2.6415,              1.5623,              1.2187,              0.6832,             0.47784,             0.53425,             0.23729,                   0,                   0,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,              2.6417,              1.5593,              1.2191,              0.6814,             0.48149,             0.53456,             0.23849,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  92,              2.6499,              1.5558,              1.2155,             0.67734,             0.48058,             0.53347,             0.23767,                   0,                   0,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,              2.6543,              1.5637,              1.2204,             0.68574,             0.47548,             0.53445,             0.23797,                   0,                   0,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,              2.6579,              1.5758,              1.2204,             0.68234,             0.47877,             0.53516,             0.23842,                   0,                   0,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,              2.6689,              1.5824,              1.2161,              0.6829,              0.4782,             0.53525,             0.23828,                   0,                   0,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,              2.6625,              1.5666,              1.2135,             0.68057,             0.47885,             0.53609,             0.23856,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  97,              2.6404,              1.5487,              1.2146,             0.68536,             0.47872,             0.53731,             0.23921,                   0,                   0,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,              2.6487,               1.556,              1.2112,             0.68086,              0.4825,             0.53863,             0.23994,                   0,                   0,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,              2.6321,              1.5371,              1.2109,             0.67231,             0.48622,             0.53886,             0.24045,                   0,                   0,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,              2.6278,              1.5519,              1.2164,             0.67892,             0.48483,             0.53845,             0.24129,                   0,                   0,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,              2.6349,              1.5644,              1.2199,             0.67262,             0.48708,             0.53797,             0.24123,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
